puzzle,ans
中国话,哗
互吻,吕
五十对耳朵,陌
五口之家外种一树,梧
六十不足八十有余,平
公而忘私,八
反比,北
天上无二合去一口家家都有,人
天天,昊
夫人何处去,二
太太,夫
太阳王,旺
太阳西边下月儿东边挂,明
太阳挂在树顶上,果
孔子登山,岳
有目共睹,者
心如刀刺,必
手不释卷,卷
手提包,抱
手无寸铁,控
文武两全,斌
方言,响
日加直不加点,神
日长月短左右战一正一反两边排,门
日复一日,昌
日落半林中,东
日落相残洗却凡心一点,秃
日落香残洗凡心一点,秃
月光照进门,闲
木字多一撇,禾
水上工程,汞
火尽炉冷平添意马心猿,驴
王小明耳朵很大今年十四岁读一心国小,听
王先生坐在石头上,碧
王昭君仰首看斜月云天吊亡魂,望
付出爱心,受
有心得志,士
有手怀抱里有脚想溜掉有火点就跑,包
兄有债,歌
出一半有何不可,仙
出自幽谷迁於乔木,呆
半出半进,崔
半个人,伴
半个月亮,胖
半推半就,掠
去了上半截有了下半截比成两半截又无下半截,熊
古时候的月亮,胡
司马中原,魂
只是近黄昏,酱
四山纵横两日稠缪富由他起脚累是他领头,田
四川的狗,独
四面都是山山山皆相连,田
失其心也,共
左有十八右有十八二四得八一八得八,梵
打开门有客来先脱帽再脱衣,阁
正月无初一,肯
正字少一横不作止字猜,步
田里雨后长青草,蕾
甲乙丙丁戊己庚辛壬癸,旱
白头谐老,舌
目字加两点别做贝字猜,贺
伊丽沙白,瑛
多一半,夕
画前画后费心思,田
如箭在弦,引
存心不善有口难言,亚
守门狗,戾
旭日不出,九
皇帝新衣,袭
一流水准,淮
石达开,研
拱猪入门,阂
格外大方,回
走出深闺人结识,佳
一千零一夜,歼
七十二小时,晶
需要一半留下一半,雷
一口咬住多半截,名
一月一日非今天,明
要一半扔一半,奶
综合门市,闹
不是冤家也碰头,硼
上气接下气,乞
四方来合作贡献大一点,器
贪前稍变就成穷,贫
半布春秋,秦
银川,泉
一来再来,冉
守门员,闪
有人偷车,输
酿酒之后隔日香,晒
半青半紫,素
自己,体
秀才翘尾巴,秃
重点支援大西北,头
身残心不残,息
床前明月光,旷
十八乘六,校
一勾心月伴三星,心
一撇一竖一点,压
八字头,学
千里挑一百里挑一,伯
群雁追舟,巡
四个人搬个木头,杰
一人,大
一人一张口口下长只手,拿
一人在内,肉
一人挑两小人,夹
一人腰上挂把弓,夷
一口吃掉牛尾巴,告
一口咬定,交
一大二小,奈
一斗米,料
一月七日,脂
一加一,王
一半儿,臼
一字十三点难在如何点,汁
一百减一,白
一夜又一夜,多
一个人搬两个土,佳
一个礼拜,旨
一家十一口,吉
一家有七口种田种一亩自己吃不够还养一条狗,兽
一根木棍吊个方箱一把梯子搭在中央,面
一只牛,生
一只狗四个口,器
一箭穿心,必
一点一横长一撇到南洋南洋有个人只有一寸长,府
一边是水一边是山,汕
一边是红一边是绿一边喜风一边喜雨,秋
七人八只眼,货
七人头上长了草,花
有两个动物一个在水里一个在山上,鲜
九十九,白
九只鸟,鸠
九号,旭
九辆车,轨
九点,丸
二八佳人,妙
二小姐,姿
二兄弟各自立,竞
人不在其位,立
人有他则变大,一
人我不分,俄
人都到了,倒
人无寸铁,控
人无信不立,言
八十八,米
刀出鞘,力
十一个读书人,仕
十二点,斗
十三点,汁
十五人,伞
十元买早餐八元买豆干,干
十月十日,萌
画时圆写时方有它暖没它凉,日
圆心着力,勋
而立之年独居川中,卅
看上去有两头牛其实一头也没有,年
话别之后弃前嫌,谦
作品别具一格,吕
左边一千不足右边一万有余,仿
左边十八右边十八总共六八四十八,校
左边三右边三十一立在正中间,非
左边来少两人右边往少两人,柱
左边看是权右边看是对正面看一看仅对两相连,树
左边不出头右边不出头不是不出头就是不出头,林
昨晚今晚明晚后晚,罗
昨日不可留,乍
罪该斩首,非
最后重逢,双
最后一点记心中,叉
嘴下留着八字胡,只
嘴,唧
足有一半,右
足须一月,却
足下不死我不得安,哦
足球手球排球,捉
足赤,镇
走在上边坐在下边挂在当中埋在两边,土
走麦城,翠
走到村前星已斜,述
纵横谈,计
纵横开合在人间,奔
总有一天出头日,春
总是玉关情,国
综合门市部不清静,闹
自已多心不发火刚一发火火气无,熄
自小在一起目前少联系,省
自我批评,记
自我当头不足取,叙
字到前头却普通,晋
着眼不到功绩半失掉,差
自述,语
庄稼欠收,秒
自大一点惹人厌,臭
再去一笔也是字,再
自家的照片,豫
自古有聚必有别,憩
自古不简单有人也有山山倒人挺立能顶半边天,妇
自传,记
着手略有转变,撂
一月照枝头双星悬天下,秋
啄木鸟,蚀
庄稼一片黄,锈
转业到田间,赤
专与人作对,传
专人负责,债
祝福,诘
柱子,亲
住房不足,仿
住的厦子露着天,夏
属猴的,伸
主见差一点,现
主动周到,国
竹落方三叶月斜恰半林,彩
竹高草低秋波里,算
竹到笔成,毛
猪仔,孩
猪增加出口,劾
猪跑了,逐
周末晚会,歹
猪马同槽,骇
周末谜会,唬
重山倒映月影随行,用
重逢,观
周末,口
种田大有可为,畸
只待双方心融洽才可将那情侣结,倩
只差两点,口
中医配方,知
中旬考上北大,奢
中午多云有雨,浒
直下上海,由
中间一长一短上下大小各别,奈
中外服装,衷
中国腾飞再谱新曲,曼
中国,玉
致癌食品,疝
治愈痱疹消虫灭蚊,斐
此字不难猜孔子猜三天请问是何字,晶
治疗将近两个月,谬
指示未到,羚
指东道西,诣
只只球儿落点刁,羽
只有姐妹与弟弟,歌
只有姐姐妹妹和弟弟,歌
只说一句,询
只可我负天下人,何
只差点点,口
只采取一半,楫
植树种草不落后,苯
植树造林,堡
植树节,直
植上树就变样,羊
值钱全靠这两点,金
直追前人,个
直到三门临海边,润
织女鹊桥会牛郎,规
半边有毛半无毛半边上山吃青草半边下水涌波涛,鲜
枝节纵横,权
正字少一横莫作止字猜,步
正月少初一,肯
正月初一已过,肯
正义一生为后代,斌
正是为了后代,武
正看並无头倒看亦无头,业
正和她在一起,嫣
正好二人,征
整理口供少一人,典
征服,裘
争先入川,色
枕畔泪分流,湘
真心相伴,慎
真丢人,直
针炙通经络,窜
这一张,题
这是其次,些
千个口,舌
太阳从地平面上升起来了,旦
这很好,雌
这半边看去是古文那半边看去是古人把中心抽掉就变成女人,做
折枝桂花献亲人,佳
一阴一阳一短一长一昼一夜合为一双,明
赵子龙名驰天下,会
找到一半,划
招手不见走来,超
仗势霸一方势必被铲除,便
掌上无污点,拍
掌,挛
张省长到第一线,引
站在一旁请不要说话,靖
站在前头,音
展望未来,着
斩草不除根,早
沾水就活,舌
砦门重映残边月,翩
宅前屋后,室
扎根务农,思
增加一周,同
曾经沧海难为水,滩
责任制就是好,匏
早退,选
早上勿来,易
栽树植林村村有份,木
运销海外,咄
早上晴,昌
运动会上都有它,云
有意无意两相离,有
远树两行山倒影孤舟一叶水横流,慧
岳父,仗
早上好,晏
早上班不迟到,环
赞扬责任制,匏
在党身边儿莫挂牵,躺
再见,扮
阅读欣赏,敦
月照台前比高低,能
远树两行山倒影,彗
远树两行山侧立扁舟一叶水平流,慧
再次谈判,燮
运动会上常领先,偿
跃上高峰夺标回,檩
越说越糊涂猜猜就清楚,谜
云遮月,育
月月不断有人来,佣
又到淮安,滩
有功有赏,勋
云长贵姓,联
愿天下有情人皆成眷属,答
遇火就明亮遇水就肮脏,虫
又逢十一,圣
月光半露风鞋边,霸
遇水则清遇水则明,登
又进村来,树
月落乌啼,鹃
远销海外,咄
冤枉,倔
有一点不准,淮
云破月来花影碎,能
月下论桑麻,谓
远树两排雪后挺,彗
叹一计不成方又生一计,译
余在山东,峨
月上枝头杜鹃鸣,棚
远看象头牛近看没有头,午
原籍上海,伸
原鸡,醋
园内荒芜怜冬眠,图
员字加个立猜起很吃力,赔
元璋称帝,珠
欲话无言听水流,活
狱中,言
异乡见明月念儿各西东,胤
因非多罪,四
此君没人性充当第三者揭其真面目比虫更冷血,它
玉鲛绢,帛
依人成双心多不智,禺
雨落枯海,霉
由此一直去一直去,昆
雨后山色浑如睡,雪
有人是他有口是你,尹
意志坚定,恐
雨后春笋,静
有人无人都是你,尔
由衷之言,憩
一字十一笔无横又无直学生问孔子孔子说无味,淡
衣服破了谁见谁忧愁,衰
一字十二点随你书上拣凭你好生员也要猜三年,斗
羽,袅
有气节才有生命活力,羊
用心就懂,董
倚阑干东君去也霎时间红日西沉灯闪闪人儿不见闷昏昏笑话无心,门
与党中央一条心,忠
瑜亮掌握中,炎
鱼肚,田
右邻左舍关系好,郑
又扎一针,铎
有样东西是个宝垃圾堆里能找到,土
有土能种米麦有水可养鱼虾有人不是你我有马能行天下,也
由字一竖写不直,曲
千口人预备不足,舒
有头缺只脚,右
有头没尾,尢
由左边出车,轴
一字十笔成没竖也没横皇帝见了它躬身把礼行,爹
有你的一半也有我的一半,伐
有人做伴,半
一走带千军,师
有吃有穿生活好,裕
有了恳切心还要主动点,琅
一字十八点,术
有点成河,准
一字生得奇共唱四出戏第一出霸王举鼎第二出王婆骂鸡第三出武松打虎第四出吴汉杀妻,捌
有刀能功,害
有错不认错,肴
桃花岛上桃花谢旧雨楼头旧雨游,枭
有错,肴
应推广公字当头,兴
一字生得恶头上两只眼身上六个口底下八字脚,典
游者停步,企
应推广两点,兴
引滦之水入津,栾
一字人人有晚上才开口,名
造反了的人,入
口里插针,中
一个儿子有一张嘴,西
两点中间一个人,火
一字七横六直世人少有人识有人去问刘备刘备去问孟德,曹
银行两侧,很
座中无人,庄
自大一点人讨厌,臭
一字不出头,未
宜下不宜上,且
草下双田有界线,薑
从上看一天干从下看干一天,旱
将二人扶上车,撵
阶前鹤舞月西移,娜
今出游来日吟赋了却兄台前后之意,子
看看在春秋之前其实在春秋之后,秦
口中一点不是日曰字,虽
千字头木字腰太阳出来往下照,香
左边有一只小虫子右边有两堆土,蛙
朋友一半,有
你有他有众人都有我却没有,人
残星三两点孤雁横空飞,六
两山相对又相连中有危峰插碧天,由
加一半减一半,喊
抛媚眼少女惹是非,声
春节前秋分后总念乡音,香
近亲结婚不可取之,新
旷野黄昏西日落两山相对有人家,庚
此字不难猜而且不分开,面
一人比两人高,众
两人排排坐扁担来托着,丛
你没有他有天没有地有,也
办法一点都没有,劫
人到五十方团聚,梧
一边绿一边红一边怕水一边怕虫,秋
立在两日旁反而没有光,暗
勾兑沽酒不搀水,酤
灯光前人相依问心事事却了,何
此字真是特别竟是一万多撇,厉
既有头又有尾中间生了四张嘴,申
桃共依旧笑春风,妩
所以负负得正,辛
岁岁除夕团聚,出
叔叔一只眼百事都爱管,督
首先存粮而后思,悉
昔日一去心无念,芩
谁闻美人声声唤翩然前来将门扣,户
十口之家户不满,居
上不在上下不在下人有它大天没它大,一
夫人走他也走,仁
值钱不值钱全在这两点,金
银盘玉镜两难分,用
残花弄影暗香来,乘
池里不见水地上不见泥,也
因为自大一点人人都要讨厌,臭
一字六笔无竖横同心同德力无穷,众
移左边到右边,利
欲话无言听流水,活
自有一日出头天,春
池中没有水地上没有泥,也
赤橙黄绿青兰紫,艳
黑笔写出白十字,亚
十载相思风雨间,澎
牛过独木桥,生
黄昏前后杜鹃鸣,腊
半是机遇半是缘,椽
匕首暗箭短矛与足下猜之,疑
此地景色佳依山傍水真迷人,汕
虫入凤巢飞去鸟,风
分开是三个合起来无数,众
前七月双月后五月单月,肖
加减乘除少一点,坟
一直一个样,栏
丝丝杨柳云天下,参
此字八横又八直若问孔子也不知,哑
眼看田上长青草,瞄
明月当空邀人共仰,昂
唤我水边住,涂
日月各西东,明
东西南北无弯路,置
一口咬掉牛尾巴,告
一中咬去多半截,名
花落人亡两不知,七
东西种梧桐南北栽杨柳,楞
草色连云人去住,荟
草下可藏人,荷
参差树木映朝阳,楂
边吃边喝边呤,品
文武双全不猜斌,刘
千少万多,仿
傍晚,晒
晴转阴有雨,清
一夜之间别样红,殊
用心改革内外结合,绸
新年之春,样
西湖明月下二人成双对,潜
天下无双,旦
水边人家,沪
依山而立,端
一叶孤舟沉水底两行归雁趁潮飞,怂
说唱表演,呓
水中赶路,衍
谁都没有休息,竿
一横一横又一横一竖一竖又一竖左一竖右一竖一竖一竖又一竖,带
十日水来,洵
山里处处栽塔松山间乡乡变了样,幽
山山拔地起,丛
日月一起来不作明字猜,胆
勤奋劳动都有他份儿,力
瞧左相右见上看下,目
一言未发,详
没有鬼魂,云
左边看去三十一右边看去一十三整个看去三百二十三,非
镜中人,入
西湖春色,清
私后终出丑,关
水源曲折山峰隐,丞
双雁落平沙,丛
一心要填补空白,息
要票才有,西
三位一体,王
三八之夜,萝
削去朽木加工就妙,巧
说起此字真别扭全家共有三十口皆因生育无计划难吐心中忧和愁,苦
蟋蟀大战,蚪
坤角青衣,姐
刀枪并列,划
一直两点两点一直,慎
左边加一是一千右边减一是一千,任
任你横冲直撞我要四面包围,田
上面正差一横下面少丢一点,步
千里之行始于足下,踵
一心只图翻身,总
双手一挥说声再见,拜
兔遁吴刚走嫦娥下凡尘,腔
左边一千少一些右边一万多一点,仿
有位叔叔一只眼大事小事都爱管,督
一心依赖实为惰,懒
左边缺点水右边满是水,冰
水天相连,汨
双木不成林,相
一字九横六直几个学生不知一块去问老师老师想了三日,晶
一心向上,忐
撇开本人集会散,雄
伊丽莎白,瑛
斩草除根,日
半字写下,干
一知半晓心计不少,智
出口服装,哀
壮士一去兮不复返,版
一直下去是上海,由
避乱江东度此生,活
山下幽兰一一开,兹
学子远去又见归来,觉
此字八横又八开十问孔子也不知,哑
用米做酒只需一天,糟
一人一口一只手,拾
漠漠水田大雁飞,淄
守株待兔依南亩,榴
岁首到厂来劳动,岸
大力合作实地干,夯
莫等日落近黄昏,暮
庭前残月相对映雁阵一行垂柳上,廖
百无一失,白
上山下厂参加劳动,岸
一头牛,生
东西南北一条心,愣
颠倒之后名列前茅,由
吴头楚尾落花无泪,路
时到日落人方归,付
神州念一统两地岂可分,鞋
画中悬玉兔笔底洒流星,腮
后半段先写前半段后写,豆
好象不为自己其实虚情假意,伪
来人正是蓬莱客,山
家中无点米佳人愿意来,屡
良又少一点,艰
有你有他唯独没有自己,从
翼王之死,碎
请勿入口,囫
乘人不在,乖
无角牛登上没峰山,击
水满金山闹盈盈吓得许仙不象人白蛇娘娘当中坐小青立在下面听,源
夏日消融,者
树在台下栽不是困杏呆,束
是非除去后倾心两相伴,陛
八个蚂蚁抬棍棍一个蚂蚁棍上捆,六
点点萤火照江边,淡
手足之情,捉
十方之普莫非王土,理
一字有五笔倒数总第一,末
不正之人走后门,们
多心就不好,亚
有吃有穿,裕
闭着嘴却在笑,哈
上下结合求一致,正
北弟兄四个一只手车上一坐急着走,撵
出丝店进米店因为有墙转个弯,继
人人开门红,简
百分之一吨,芹
八十多了一横六十少了一点,平
天生一个仙人洞实无仙人在,吴
植树,亲
心不着急靠边走,趋
鼠头虎尾,儿
上边一块田下边一条川三山头朝下二月紧相连,用
山乡水水乡山而今处处变了样,绿
一点一横两眼一瞪,六
蜀水横流,州
手续齐全,拴
是非之心人有之,介
秋收,火
水漕干涸,曹
一弯新月临窗前,穹
白头雄心向未来,侏
衰柳残荷,柯
视而不见,示
投石破水面少游得妙联,婆
兔眼如豆鼠爪短,孵
树影池边月,潸
时节近重阳,晶
搬弄是非,开
白面郎君,替
顶天立地,工
水调歌头,河
十月十日成一家,朝
求出正文形除非加直线,匪
提倡晚婚人人有份,日
十分用心细细想,忖
佛殿有佛无人拜,弗
分明有大小怎能划等号,夸
此字不奇怪芬芳又自在七人头上草大家都喜爱,花
数点星光梅枝疏,枚
水产门市部,衡
十二点方到,国
少儿节目六一来临,竟
一桅白帆挂两片三颗寒星映孤舟,患
月上始见残花影,背
不加口是一口加一口是九口,井
王大娘和白大娘挨肩坐在石头上,碧
存心不让出大门你说烦人不烦人,闷
树雄心,仅
一只虎,蝉
吃了大亏还受表扬,夸
时代最前列,倡
石化厂兜一圈,回
石出头不是右,岩
林字多一半,梦
头重脚轻,炭
儿子出世,甥
出工不出力,切
除虫夺高产,蚌
坐定左右无人,土
厂外河水绕厂流,疴
风帆重叠轻舟浪横,患
来信看一半体会已十分,谢
一张四方连,嚣
过去一寸进来一尺,迟
一去成千古,吏
欣闻廿年换旧貌,薪
要一半仍一半,奶
一心生一个,性
车旁站着喜旺嫂,辍
草堂,铺
一人一杆枪出征去打战,伐
草木之中有个人,茶
四点树下埋,杰
一语道破,吾
一有就要,耍
一衣带水国相邻,晔
曙光照首都,景
树头雁阵入画中,巢
上脚就射门说来并不难,易
干在前头谋利在后,刊
佛言不信,弗
三横三竖不新鲜孔子猜了两天半,旧
三横三竖能种红薯,田
山间望远树阵前寄相思,酆
入门无犬吠,问
俺家大人不在家,电
雁群低飞水田旁,淄
加了四点只有一点,占
妇女节双丰收打字一,彗
遗著,做
出门闺女,娃
山东有雨,鱼
上海没有一点雨,漏
庭前乱花草尽人影空,龙
十二点动身,迕
手把山扳倒,扫
入门尽是弹冠客,阁
瞪着眼睛瞧看看都不少,目
菜田浇水除草,潘
一只广锅炒黄豆铲穿锅子不会漏,必
不学无术,苞
山字尖对尖四口紧相连老王当中坐双日分两边,四
书香人家,闵
授艺有方,呓
十加十,茄
一一补足,是
金木水火,坎
夺去一半留一半,奋
加一点有四边,方
称霸四方结局可悲,噩
枫树无风旁边有位老公,松
上下一起烧热的受不了,炎
三个星期,昔
若教有口便哑且要无心作恶中间若没肚肠外面任生棱角,亚
居心不良,亚
一户一斤,所
狗仗人势,伏
心被刀割,必
赴汤蹈火,烫
没事的姑娘,娴
窗前乍见晚梅开,榨
一人涛头立一人水中翻,似
手持单刀一口,招
上下都是关云长,翁
有火腾空而起有口不能笑谈有衣能过三九有水很快就完,包
点晴能飞,乌
先人后已,俄
不信邪,魁
你我他,众
没心思,田
非正式协定,药
悲喜交集,志
杯中蛇影,弛
半生半熟,塾
半天江水落,左
烧着一半,烂
野径无人草丛生,茎
水乳交融,浮
十分高大,夺
十二寸,尽
生动有力,云
上下一致,卡
一人冒雨而来,儒
为非作歹一念间,薤
十五天半个月,胖
熙熙攘攘,侈
台上长草,苔
千里之行始足下,踵
千树万梨花开,楷
多出一半,岁
对方下午来,骂
断一半续一半接起来不再断,继
十分有权,树
上下空落,八
山水相连心贴心,凼
泼水节,发
两点天上来,关
身在树荫中,榭
上弦下弦星星点点,弱
一撇下面十一点,压
不足一旬,旭
瓣瓣残花落草中,昆
班前班后必带,瑟
败走麦城,翠
哥哥一半大猜可就错了,奇
东风齐努力一舟扬三帆,巡
善始善终一心到底,总
山东省阴有雨,霁
日日相聚亲密无间,田
烘云托月,育
孤儿不孤有人照顾,倪
勾心斗角曲折心肠,泓
倚山而立,端
斜依高楼伴春雨静听琴声,秦
妇女解放翻身向上,山
凤头虎尾,几
一人立正一人稍息,价
一横又一直不能猜作十,支
翠竹竞茂,静
次品剔出框框外,咨
春雨送人行,三
两根旗杆六个斗中间有路无人走,非
两层楼六间房两根烟囱一样长,曲
十分小心,忖
少头无尾,光
长期无雨,泛
还不走车来了,连
去一撇就没了,丢
记一半忘一半,忌
同心迎癸未点滴作奉献,善
私设公堂,型
说话有力,动
士气,恽
二十三加八十一,基
二人同行后不见店前不见村,俯
半对半对凑成一对,双
霸王进兵,翠
三水相连,淼
减去一个孤单一人加上一个成伙成群,从
一勾新月伴三星,心
一根棍子地上敲两只跳蚤左右跳,小
十对十,卉
身居村中,榭
人说多子为好我说少生为妙,女
牛之头虎之尾猜不着别多嘴,先
两划一大两划一小,秦
先先后后,告
不似春光胜似春光,铯
前前后后都要放在心上,总
旁若无人里应外合,俭
牛羊成群,羞
关云长刮骨疗伤,谬
个个见了笑,夭
一无所获,控
言出必行,若
千里来人会千金,委
一大一小一跑一跳一个食人一个吃草,骚
事事如意,恰
去掉偏见二字人才脱颖而出,规
报喜不报忧,诘
半屏山山外有山,崛
一错再错,爻
人要站好手要伸直,年
没有哥哥,歌
一胎喜得两千金,瓶
前前后后弄得好,善
提前一天超额,扶
左十八右十八国家建设需要它,林
一年三季总成章,散
荣辱半生归乡下,村
女儿泪两行,姚
年终岁尾不缺鱼米,鳞
人以食为天,良
缺一点良心,恳
苗根有变化,苦
门外长流水门里出太阳,涧
毛遂自荐,衙
翻来覆去破片儿没看头,鼎
人言不作信字猜,认
七嘴八舌,哆
扫平高家庄,崽
轻烟薄雾笼山峰,氙
仁智之乐,汕
破镜重圆,锺
乃正负之比耳,陛
明月出天上,旦
半堆成品,哉
巧断奇案,柯
前前后后,豆
两个老头白了头,箸
来的都是客全凭嘴一张,晒
一女染病神医难治,嫉
半点也没有,牛
两把牙刷都断了背靠背来墙上挂,非
重赏之下得千金,婴
落花时节,咐
两人力大冲破天,夫
一点一横二人相并划了十字没了性命,卒
黯然失色,音
日出不明,音
人活七十古来稀,哗
怒斩刁仆,心
念子心切子出游兮心何安,吟
前景喜人昂首前进,倡
破片儿翻来覆去没看头,鼎
十分先进,过
摄影入门,闪
一川横贯双峰倒影,带
一家一口,豪
一点一点落实,买
请君免言,蹲
恰象举头笑盈盈,兴
破格选拔大有人在,医
球边偶拾,弄
牛角上挂把刀,解
南方有一人身背两葫芦喜的是杨柳木怕的是洞庭湖,火
人手一口,拾
球王退位,求
巧夺天工,人
一个天上一个人间,筑
三光无日,腥
严守机密,谟
玉质不纯,硖
汝乃有心人,您
洒水冲净街心土,衍
人要有一点品格,器
前方后方一个样,吕
晴空朗月挂边陲,郎
前水复后水,淼
牛角上边来一刀,解
抛弃一点,弁
南冠草,卉
一水横川双峰倒影,滞
能说善讲,团
请您放下心,你
情节扣人,倩
千里之外有人家,驴
请勿尝,馍
清浊分流,蜻
千进一口,适
人人让座,庄
七十二家,究
你左我右,伐
南昌多云,昙
明月半露云脚下残花双落马蹄前,熊
一举未成,本
山里处处猪满圈,豳
三十六着,焚
秋后一户翻了番,煽
千里一线穿,重
七擒孟获,惩
戎马书生,斌
人需边上走,趁
秋波横送细语直传,罢
塞北千里,乖
人要虚心,化
桑榆暮景,梦
散会,云
一屋生春,闲
人在前头走,俞
三十出岁头,端
翩翩飞出栅栏去,扇
三人同行我最大,徐
全家罗袜起秋尘,迆
骑马可走,大
恰似披星带月人,炙
片刻即到,至
始乱终弃,升
平反归来,啬
人在草木中,茶
一万零一撇,厉
水经注,训
鸟窝,扇
你左我右争上篮,筏
门前握手客来脱帽,搁
一人分配四平方多点,器
不怕火,镇
人在天涯月如弓,胰
你半个我半个,筏
毛竹,笔
骐骥骅骝,驷
南柯皇帝,枉
每天一歌,曹
红娘子,姝
田上长青草细看不是草,苗
贝字减两点不作目字猜,资
两眼视力好,瞿
砍掉了石头,欠
三个十八盘,森
水光浮日出,滉
文章重复,够
市场无有店堂里有,口
十五日,胖
射入缺口,医
一人之命,叩
水上作业,汞
声响音量,贫
其丑无双,犄
宁波之行,通
男宾止步,妪
轩窗外小河旁炊烟袅袅,淄
上下同义不同样,变
三八集体,兰
立在最前头,音
实现大统一,天
人人有来往,主
扭转旧偏见,旦
那个不好,雌
恰似飞鸿踏雪泥,箸
宁波话,诵
高风亮节留人间,史
大火烧到耳朵边,耿
且将献之比羲之,琵
你丢人啦,尔
一斗多,斜
明是水少却说水多,泛
人人有奔头,夾
泥,堤
柳暗花明,树
一人得道,会
吾妻,肉
公尺,来
切莫大意,缌
囡,娲
名下无虚,嗔
十分体贴,射
十八相送泪两行,湘
湿柴,沐
一日千里人跃进,香
气管炎,氮
儒将,斌
内外一致,丙
缺一不成,丕
巧挖穷根,窍
人虽离休心一点没离,怵
美好开端,姜
人钻钱眼里势必违法纪,囚
屈指一算,擞
太平门,咄
功过各一半,边
未来展翅定腾飞,翔
蛇行,起
包龙图上场,黜
欲罢不能,四
刘邦闻之则喜刘备闻之则悲,翠
零头,雨
三级材,柄
看礼花,睬
明月照门来,閒
另有变动,加
莫下手,摹
两口人干什么,啥
怒潮,弛
扭转乾坤六十年,由
一女恰二十,妍
未移一笔保原状,本
末倒置,半
萝卜青菜各有所爱,呸
农药效果大,虻
两角钱,芬
里头有人,困
追根寻底,过
对影成三人,奏
人离休要荐才,材
包公上场,黜
霸王自刎,翠
把开源节流挂在心上,愿
谜格,唬
论鲁迅,调
两人争球一人倒勾,以
年纪八十八当家日日擦一日勿去擦全家要饿杀,米
年过古稀,佬
起诉无效,皓
弄去一半,弁
一去无消息,查
一口咬去多半截,名
老挂钩,考
来者不善,殡
由下面转弯,电
八人一口,谷
冒雨下田,雷
落草为王,弄
半耕半读,讲
异口同声,谐
落日余晖,晃
驴高栏低,骗
林字一半多,梦
木偶皇帝,琳
没恒心,亘
一人背张弓,夷
梅花林,麓
落花人独立微雨燕先飞,俩
仁至义尽,仪
曲目调正,曹
宝中宝,玉
老人船,艘
山下有了抽水泵,岩
离开半月,脑
穿门小径到堂前,常
尘土飞扬,小
一女力量大推倒一座山,妇
一来就有徒弟,帅
木偶皇后,琳
每天洗一澡,渣
一心建四化,总
居里夫人,姑
两千里,冯
旧了,阳
里根上台,云
开创新局面干字要当头,弄
木乃伊,居
三岔路口人分手,拱
北拒曹操东和孙权,蠲
业务一定放心上,恶
一见有学头,觉
陕西省,夹
阵前各方无一生,隆
置之于八卦山下,退
转眼黄昏舟自横,逻
字字看来皆是血,赦
月斜三更如一勾,乳
有意无心,音
赠款,锄
因小失大,口
欲要清谈请出去,淡
专车,转
岳父大人,仗
珠宝商,赎
月月亏空一定补,册
征稿,救
樱桃小嘴,如
二十一中又垫底,鞋
晨浴,渣
不必自小,尖
半硬半软,砍
丑而壮,犟
